num_1 num_2 num_3
47 26 99
100 18 56
39 86 80
95 54 34
57 62 15
60 60 13
55 30 7
93 3 92
5 97 91
47 98 19
20 79 65
23 64 18
95 42 48
94 23 2
67 71 5
31 53 78
35 47 60
43 33 9
43 94 34
33 41 34
63 98 8
16 83 12
1 69 27
99 14 66
7 3 66
54 6 95
5 71 100
6 5 49
8 53 81
84 27 87
82 50 48
19 74 28
87 23 49
91 46 18
53 73 53
33 94 69
23 99 67
79 75 87
3 35 66
54 54 11
44 25 48
62 3 13
15 92 24
94 36 98
45 61 17
85 42 63
38 50 84
66 47 79
7 22 29
10 97 47
14 61 31
87 100 82
45 85 97
77 83 21
95 17 61
32 30 67
93 33 7
96 59 53
32 33 54
34 54 60
46 14 92
99 44 26
32 53 90
79 92 95
82 56 34
90 58 93
75 79 91
21 98 63
35 1 41
76 72 69
6 50 13
78 40 65
47 8 60
62 19 69
62 52 50
55 51 27
55 100 53
16 45 55
22 11 14
92 41 43
50 50 43
23 36 80
5 1 38
97 29 45
20 32 64
67 67 46
25 87 56
19 59 91
41 65 84
30 21 77
14 64 33
74 85 54
80 98 91
50 90 56
42 4 51
17 11 62
52 80 37
10 86 97
97 94 5
1 38 86
67 7 64
1 79 18
76 66 65
16 13 69
7 14 9
46 57 66
63 93 76
46 44 60
77 27 85
77 32 81
83 6 36
4 35 29
21 55 54
58 35 7
73 12 86
52 93 86
95 73 64
48 3 87
67 23 54
74 48 1
73 59 5
27 29 80
34 97 1
80 70 33
63 33 12
88 92 60
49 15 16
18 88 11
76 6 78
66 76 100
92 95 55
22 61 18
94 52 15
79 56 32
36 52 10
100 49 30
10 55 87
55 9 100
9 15 24
100 19 94
2 75 52
15 5 29
26 86 65
98 65 64
61 100 50
12 96 12
35 13 69
12 31 39
90 27 65
26 8 75
59 11 86
86 47 36
84 12 80
30 57 5
86 44 93
87 64 73
93 79 96
89 87 21
35 12 69
28 14 79
81 96 31
83 80 17
71 15 45
30 30 94
38 86 2
77 36 52
94 18 3
19 67 6
37 77 72
79 24 87
25 53 8
23 50 35
3 57 43
25 95 64
29 56 89
33 46 62
19 59 36
12 61 60
67 66 81
32 100 26
26 29 67
55 98 90
46 52 66
94 76 32
13 93 54
1 89 39
55 33 26
13 63 82
18 36 27
59 90 16
16 22 95
20 41 68
55 67 75
84 14 79
22 87 89
88 8 86
75 26 61
7 59 26
85 76 5
34 55 4
7 4 80
19 66 84
38 26 34
64 96 71
30 21 88
92 20 53
89 3 56
11 7 36
54 25 36
96 47 78
63 60 96
55 12 56
41 88 52
86 50 61
23 37 13
72 73 45
24 87 74
39 77 47
52 63 70
61 54 33
35 49 49
53 27 25
44 71 84
28 56 54
41 28 49
42 40 55
98 8 34
38 2 87
69 11 50
23 25 89
2 35 91
92 33 85
4 74 52
28 28 55
8 55 7
91 55 51
98 63 19
100 34 52
98 82 56
67 17 12
12 90 71
12 88 2
95 87 73
41 32 91
23 20 91
83 77 99
13 28 10
47 94 53
61 81 9
2 93 21
55 77 62
66 52 33
54 93 92
73 18 62
59 6 18
24 98 91
22 90 76
19 67 75
87 46 19
38 40 38
52 95 66
14 88 85
65 75 87
37 12 46
50 43 50
43 99 87
20 45 92
86 13 18
69 23 28
58 35 27
95 74 83
89 45 80
52 29 8
77 1 73
86 3 4
70 20 83
53 7 85
91 25 37
66 94 12
91 13 4
56 84 44
23 46 97
94 51 24
36 69 48
46 30 88
